_RAJ2000,_DEJ2000,Seq,RAJ2000,DEJ2000,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,[3.6],e_[3.6],[4.5],e_[4.5],[5.8],e_[5.8],[8.0],e_[8.0],[24],e_[24],AKs,alpha,Cl,2M,Simbad
83.784875,-5.4748056,1607,05 35 08.37,-05 28 29.3,13.27,0.03,11.78,0.03,10.82,0.02,9.75,0.01,9.39,0.01,9.05,0.04,,,,,0.53,,D,2M,Simbad
83.632,-5.4741111,1608,05 34 31.68,-05 28 26.8,12.73,0.02,11.84,0.03,11.39,0.02,10.88,0.01,10.62,0.01,10.48,0.01,9.91,0.02,,,0.14,-1.76,D,2M,Simbad
83.8253333,-5.4735556,1609,05 35 18.08,-05 28 24.8,14.33,0.02,12.84,0.03,11.5,0.02,9.42,0.01,8.65,0.01,7.82,0.02,6.61,0.18,,,0.24,0.4,P,2M,Simbad
83.7899167,-5.4730556,1610,05 35 09.58,-05 28 23.0,11.94,0.02,10.76,0.03,10.1,0.02,9.21,0.01,8.75,0.01,8.08,0.01,6.94,0.03,,,0.36,-0.21,D,2M,Simbad
83.8291667,-5.4728611,1611,05 35 19.00,-05 28 22.3,16.31,0.14,13.82,0.05,12.37,0.04,10.76,0.02,10.34,0.01,,,,,,,1.45,,D,2M,Simbad
83.97475,-5.4719167,1612,05 35 53.94,-05 28 18.9,15.53,0.05,14.08,0.04,13.28,0.02,12.44,0.01,12.2,0.01,,,,,,,0.59,,D,2M,Simbad
83.7276667,-5.47175,1613,05 34 54.64,-05 28 18.3,13.51,0.03,12.55,0.04,12.0,0.02,11.05,0.01,10.77,0.01,10.25,0.02,9.4,0.02,,,0.15,-0.91,D,2M,Simbad
83.80575,-5.4715,1614,05 35 13.38,-05 28 17.4,,,14.16,0.05,12.29,0.02,10.73,0.01,10.26,0.01,9.74,0.04,,,,,2.65,,D,2M,Simbad
83.7039583,-5.4713611,1615,05 34 48.95,-05 28 16.9,12.84,0.03,11.84,0.03,11.35,0.02,10.57,0.01,10.19,0.01,9.84,0.01,9.26,0.02,5.84,0.04,0.25,-1.34,D,2M,Simbad
83.8808333,-5.4711667,1616,05 35 31.40,-05 28 16.2,13.04,0.02,12.28,0.03,11.84,0.02,11.23,0.01,10.84,0.01,10.35,0.04,,,,,0.0,,D,2M,Simbad
83.9248333,-5.4701667,1617,05 35 41.96,-05 28 12.6,9.36,0.02,8.84,0.03,8.63,0.02,8.36,0.01,8.09,0.01,7.65,0.01,6.74,0.01,4.23,0.02,0.0,-0.96,D,2M,Simbad
83.8767917,-5.4697778,1618,05 35 30.43,-05 28 11.2,13.73,0.02,12.86,0.03,12.38,0.02,11.56,0.02,11.16,0.01,,,,,,,0.09,,D,2M,Simbad
83.9390833,-5.4696111,1619,05 35 45.38,-05 28 10.6,11.73,0.02,10.85,0.03,10.37,0.02,9.6,0.01,9.02,0.01,8.4,0.01,7.1,0.02,3.15,0.03,0.11,0.02,D,2M,Simbad
83.847,-5.4694444,1620,05 35 23.28,-05 28 10.0,12.6,0.02,11.56,0.03,10.96,0.02,10.49,0.01,10.08,0.01,9.34,0.03,7.95,0.05,,,0.22,0.11,D,2M,Simbad
83.6700833,-5.4692778,1621,05 34 40.82,-05 28 09.4,12.6,0.03,11.92,0.03,11.59,0.02,10.96,0.01,10.56,0.01,10.07,0.01,9.37,0.01,,,0.0,-0.99,D,2M,Simbad
83.8375417,-5.4691389,1622,05 35 21.01,-05 28 08.9,12.15,0.02,11.07,0.03,10.61,0.02,10.02,0.01,9.71,0.01,9.14,0.05,,,,,0.38,,D,2M,Simbad
83.704375,-5.4691389,1623,05 34 49.05,-05 28 08.9,13.48,0.03,12.82,0.04,12.48,0.03,11.99,0.01,11.86,0.01,,,,,,,0.0,,D,2M,Simbad
83.800125,-5.4690278,1624,05 35 12.03,-05 28 08.5,14.63,0.02,13.64,0.03,13.08,0.02,12.27,0.03,11.89,0.02,,,,,,,0.18,,D,2M,Simbad
