angDist,_RAJ2000,_DEJ2000,recno,SST,M,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,Rank,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,Mmclass,Note2,_RA,_DE,Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,Flag
0.112175,66.8375,24.141389,56,042721.0+240829,w,,,13.3,0.14,,13.08,0.06,,13.11,0.08,,12.64,0.09,>,9.71,,>,1.0,,>,0.59,,,,,no,yes,,1,,C-,,star,III,G6,2.8,0.2,-1.8,,0.0042,needs add'l followup,"b,j,n",66.8375,24.1414,149326190294201088,66.83753372681,24.14139386900,1585.31628000,1494.83350000,1672.82629000,1608.10120000,1515.60620000,1697.83740000,10033
2.771855,66.8375,24.141389,56,042721.0+240829,w,,,13.3,0.14,,13.08,0.06,,13.11,0.08,,12.64,0.09,>,9.71,,>,1.0,,>,0.59,,,,,no,yes,,1,,C-,,star,III,G6,2.8,0.2,-1.8,,0.0042,needs add'l followup,"b,j,n",66.8375,24.1414,149326190293830144,66.83770334972,24.14213626433,1852.64758000,1611.18018000,2166.72754000,1810.93188000,1612.23792000,2073.26294000,10033
0.442915,66.867083,26.389722,57,042728.1+262323,w,,,12.75,0.08,,12.58,0.06,,12.51,0.06,,11.83,0.2,,10.17,0.26,>,0.92,,>,-2.33,,,yes,no,no,yes,,1,,C+,not yso,star,III,K1 w/ Av,1.3,0.0,-1.6,,0.007,needs add'l followup,"b,n",66.8671,26.3897,151286482086624256,66.86721258687,26.38976276286,1477.60291000,1404.94531000,1566.67017000,1443.28210000,1375.01550000,1529.94409000,10033
0.556442,67.043333,24.598056,59,042810.4+243553,w,,,13.55,0.06,,12.53,0.06,,11.63,0.06,,10.54,0.08,,7.49,0.06,>,1.05,,,,,,,no,yes-faint,no,,0,,C,not yso,embedded,flat,,,,,,,pending followup,,67.0433,24.5981,149377828684036736,67.04331543137,24.59820973965,1146.34875000,643.38336200,3032.26782000,6447.42188000,5659.35303000,7502.57520000,20033
0.847155,67.239167,24.601944,60,042857.4+243607,w,,,10.4,0.05,,10.38,0.05,,10.25,0.06,,10.2,0.06,,8.88,0.14,>,1.1,,>,1.85,,,yes,no,no,no,,1,,A,yso,star,III,,,,,,,pending followup,c,67.2392,24.6019,149371304630240640,67.23938224063,24.60207467828,2417.33130000,1972.91235000,2914.29199000,2407.67725000,2086.35229000,2879.44653000,10032
1.399889,67.262083,24.527778,61,042902.9+243140,w,,,7.78,0.05,,7.68,0.05,,7.5,0.05,,7.46,0.05,,7.4,0.06,>,1.05,,>,-1.56,,,yes,no,no,no,,1,,C-,yso,star,III,,,,,,,pending followup,c,67.2621,24.5278,149367830000033536,67.26250542898,24.52783730581,537.15191700,489.58200100,597.56860400,,,,10000
0.355013,67.3175,28.940833,63,042916.2+285627,w,HD 283629,,9.2,0.05,,9.19,0.05,,9.16,0.06,,9.11,0.05,,8.55,0.11,>,1.09,,,,,,no,yes,no,no,,1,HD 283629,B+,yso,star,III,G6,2.5,0.5,-0.1,,1.5E-4,needs add'l followup,b,67.3175,28.9408,153001307909276928,67.31758578311,28.94089694741,152.98770100,150.62147500,154.97375500,153.30232200,151.46234100,155.02215600,10033
0.513612,67.336667,27.701944,64,042920.8+274207,p,IRAS 04262+2735,,6.67,0.05,,6.59,0.05,,6.22,0.05,,5.04,0.05,,3.02,0.04,>,1.01,,>,-0.85,,,yes,yes,yes,no,g,1,IRAS 04262+2735,A,yso,class II,II,M6,0.0,4.0,0.4,,0.04,"possible,new member","b,c,d,e,k,o",67.3367,27.7019,152584519986221696,67.33680707687,27.70201452315,3204.63599000,2735.03125000,3681.49048000,3052.83325000,2631.04517000,3725.36157000,10022
1.053985,67.4,24.598611,66,042936.0+243555,M,J04293606+2435556,,8.04,0.05,,7.72,0.05,,7.47,0.05,,6.98,0.05,,4.19,0.04,,1.21,0.22,>,-1.75,,yes,yes,yes,yes,yes,i,1,2MASS J04293606+2435556,A+,yso,class II,II,M3,,6.6,-0.1,,0.048,new member,"f,g,h,l",67.4,24.5986,149369139966814976,67.40031209025,24.59868306096,129.97433500,129.31062300,130.55268900,129.91700700,129.37536600,130.51849400,10033
1.192068,67.457917,28.714722,67,042949.9+284253,w,,,13.25,0.06,,12.57,0.06,,11.82,0.06,,10.79,0.06,,7.46,0.06,>,1.12,,>,-0.7,,,no,no,no,yes,,1,,C-,not yso,class II,flat,,,,,,,pending followup,,67.4579,28.7147,152982959808341504,67.45829158788,28.71476347724,2222.83887000,1423.78687000,3659.59717000,2288.39648000,2007.38196000,2854.90747000,10033
