_RAJ2000,_DEJ2000,SST,l_[3.6],[3.6],l_[4.5],[4.5],l_[5.8],[5.8],l_[8.0],[8.0],l_[24],[24],l_[70],[70],l_[160],[160],IRAC,2M,SimbadName,Class,SpType,EW,AV,l_LIR/L,LIR/L,_RA,_DE
67.375,24.665278,042930.0+243955,,10.21,,9.43,,8.6,,6.72,,1.12,,-1.37,>,-1.94,yes,1,IRAS04264+2433,I,M1,,9.5,,0.75,67.375,24.6653
67.422917,26.549444,042941.5+263258,,7.63,,7.33,,7.2,,6.86,,3.37,,0.82,,,yes,1,DH Tau,II,M1,,2.5,,0.086,67.4229,26.5494
67.426667,26.546944,042942.4+263249,,8.21,,8.22,,8.14,,8.11,,,>,0.72,,,no,1,DI Tau,III,M0,,0.5,<,0.0011,67.4267,26.5469
67.44,26.512778,042945.6+263046,,11.05,,11.02,,10.94,,10.83,>,9.71,>,0.9,,,no,1,[BLH2002] KPNO-Tau 5,III,M7.5,,0.6,<,0.0025,67.44,26.5128
67.464583,26.112222,042951.5+260644,,6.81,,6.37,,6.07,,5.53,,2.82,,0.32,,,yes,1,IQ Tau,II,M0.5,,2.9,,0.19,67.4646,26.1122
67.497917,24.551944,042959.5+243307,,9.02,,8.55,,8.32,,7.84,,4.91,,2.06,,,yes,1,[MDM2001] CFHT-BD-Tau 20,II,M5.5,,4.6,,0.1,67.4979,24.5519
67.53,26.138889,043007.2+260820,,13.12,,12.77,,12.42,,11.58,,9.2,>,1.01,,,yes,1,[BLH2002] KPNO-Tau 6,II,M8.5,,1.2,,0.1,67.53,26.1389
67.598333,23.986667,043023.6+235912,,13.23,,13.15,,13.04,,12.99,>,10.54,>,1.0,,,no,1,[MDM2001] CFHT-BD-Tau 16,III,M8.5,,0.5,<,0.0038,67.5983,23.9867
67.623333,24.445833,043029.6+242645,,7.22,,6.96,,6.69,,5.97,,3.03,,1.09,,,yes,1,FX Tau,II,M1,,2.9,,0.081,67.6233,24.4458
67.684167,26.023333,043044.2+260124,<,6.62,<,6.1,,5.52,,4.78,,1.85,,0.08,,0.57,,1,DK Tau,II,K7,,2.9,,0.13,67.6842,26.0233
67.709167,23.002222,043050.2+230008,<,6.62,<,6.1,<,3.49,<,3.52,<,0.45,,-1.87,,-3.88,,1,IRAS04278+2253,II,F1,,13.6,,0.075,67.7092,23.0022
67.71375,24.706111,043051.3+244222,,8.08,,7.9,,7.61,,6.94,,4.53,>,0.72,>,-4.46,yes,1,ZZ Tau,II,M5,-9.7,1.6,,0.029,67.7137,24.7061
67.715417,24.696389,043051.7+244147,,8.11,,7.38,,6.73,,5.78,,2.01,,-0.99,,-3.61,yes,1,ZZ Tau IRS,flat,M4.5,,6.9,,0.76,67.7154,24.6964
67.737917,25.944167,043057.1+255639,,12.62,,12.28,,11.99,,11.25,,8.62,>,1.23,,,yes,1,[BLH2002] KPNO-Tau 7,II,M8.25,,0.3,,0.13,67.7379,25.9442
67.81,27.171389,043114.4+271017,,8.72,,8.75,,8.66,,8.6,,6.76,>,0.75,,,no,1,JH56,III,M0.5,,0.0,,0.0025,67.81,27.1714
67.829167,23.584444,043119.0+233504,,11.66,,11.53,,11.56,,11.46,>,10.59,>,0.86,,,no,1,2MASS J04311907+2335047,III,M7.75,,1.2,<,0.0032,67.8292,23.5844
67.849167,24.181111,043123.8+241052,,8.52,,8.47,,8.38,,8.38,,8.19,>,0.91,,,no,1,V927 Tau,III,M5.5,,0.4,<,5.5E-5,67.8492,24.1811
67.860833,27.055,043126.6+270318,,12.9,,12.75,,12.72,,12.7,,10.72,>,0.68,,,no,1,[MDM2001] CFHT-BD-Tau 13,III,M7.25,,1.8,,0.0062,67.8608,27.055
67.960417,24.405,043150.5+242418,,7.71,,7.35,,7.1,,6.58,,2.31,,-0.81,,-3.02,yes,1,HK Tau,II,M0.5,,4.7,,0.22,67.9604,24.405
67.993333,25.724722,043158.4+254329,,9.35,,9.29,,9.24,,9.22,,9.04,>,1.08,,,no,1,[HJS91] 665,III,M5,,1.2,<,3.1E-5,67.9933,25.7247
68.013333,25.468611,043203.2+252807,,10.3,,10.2,,10.13,,10.09,>,9.67,>,1.03,,,no,1,2MASS J04320329+2528078,III,M6.25,,0.0,<,0.0025,68.0133,25.4686
68.064167,24.483056,043215.4+242859,<,6.62,<,6.1,,5.49,,4.85,,0.88,,-1.43,,-4.02,,1,Haro6-13,flat,M0,,11.0,,0.32,68.0642,24.4831
