angDist,_RAJ2000,_DEJ2000,recno,SST,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,M2,_RA,_DE,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
0.875544,65.495,28.301667,69,042158.8+281806,HD283572,,6.86,0.05,,6.86,0.05,,6.81,0.05,,6.78,0.05,,6.76,0.05,>,1.24,,,,,,no,no,no,no,,1,HD283572,star,star,III,G5,,0.4,0.8,<,3.0E-5,,65.495,28.3017,04215884+2818066,65.495187,+28.301846,0.060,0.060,0,7.414,7.008,6.869,0.029,0.026,0.023,AAA,111,0,2450781.7728
1.390470,65.5025,26.958889,70,042200.6+265732,FS Tau B,,9.66,0.05,,8.4,0.05,,7.23,0.05,,5.95,0.05,,1.58,0.04,,-0.68,0.22,<,-4.14,,yes,yes,yes,yes,yes,"b,c",1,NAME FS Tau B,yso,embedded,I,,,,,,,c,65.5025,26.9589,04220069+2657324,65.502906,+26.959024,0.210,0.060,0,15.082,13.351,11.753,0.082,0.053,0.029,AAA,222,0,2450781.7719
1.140467,65.50875,26.958333,71,042202.1+265730,FS Tau Aab,,6.75,0.05,,6.3,0.05,,5.81,0.05,,4.99,0.05,,1.33,0.04,>,0.05,,,,,,yes,yes,yes,yes,,1,NAME FS Tau A,yso,class II,flat,M0e,-46.8,6.9,0.0,,0.36,"a,b",65.5087,26.9583,04220217+2657304,65.509071,+26.958469,0.210,0.060,0,10.705,9.244,8.178,0.027,0.026,0.017,AAA,221,0,2450781.7719
1.103134,65.512917,28.427222,72,042203.1+282538,LkCa 21,,8.26,0.05,,8.22,0.05,,8.14,0.05,,8.06,0.05,,8.06,0.09,>,1.23,,,,,,no,no,no,no,,1,LkCa 21,star,star,III,M3,,1.3,-0.2,<,2.9E-5,,65.5129,28.4272,04220313+2825389,65.513073,+28.427496,0.070,0.060,0,9.464,8.673,8.449,0.020,0.021,0.017,AAA,212,0,2450781.7729
1.003012,65.568333,25.819722,73,042216.4+254911,CFHT-14,,11.48,0.05,,11.34,0.05,,11.28,0.06,,11.23,0.06,>,9.51,,>,1.16,,,,,,,,no,no,,1,[MDM2001] CFHT-BD-Tau 14,,star,III,M7.75,,0.4,-1.8,<,0.003,,65.5683,25.8197,04221644+2549118,65.568501,+25.819956,0.070,0.060,0,13.059,12.362,11.936,0.023,0.027,0.021,AAA,222,0,2450781.7710
0.796821,65.569583,26.915833,74,042216.7+265457,CFHT-21,,7.77,0.05,,7.26,0.05,,6.85,0.05,,6.3,0.05,,3.29,0.04,,1.18,0.22,,,,yes,yes,yes,yes,yes,,1,[MDM2001] CFHT-BD-Tau 21,yso,class II,II,M1.25,,7.7,-0.3,,0.23,,65.5696,26.9158,04221675+2654570,65.569830,+26.915855,0.230,0.060,0,11.577,10.037,9.011,0.019,0.022,0.021,AAA,222,0,2450781.7718
1.004787,65.6,26.773611,75,042224.0+264625,2MASS J04222404+2646258,,9.52,0.05,,9.4,0.05,,9.34,0.05,,9.33,0.05,,9.07,0.12,>,1.56,,,,,,no,no,no,no,,1,2MASS J04222404+2646258,yso,star,III,,,,,,,,65.6,26.7736,04222404+2646258,65.600188,+26.773834,0.310,0.060,0,11.088,10.191,9.771,0.020,0.027,0.017,AAA,222,0,2450781.7717
0.982399,65.782083,28.099167,76,042307.7+280557,IRAS04200+2759,,8.43,0.05,,7.81,0.05,,7.28,0.05,,6.44,0.05,,3.23,0.04,,0.76,0.22,,,,yes,yes,yes,yes,yes,,1,IRAS04200+2759,yso,class II,flat,M2,,8.1,-0.9,,0.53,c,65.7821,28.0992,04230776+2805573,65.782373,+28.099262,0.060,0.060,90,13.179,11.600,10.413,0.021,0.024,0.018,AAA,222,0,2450781.7824
1.275056,65.912917,24.937222,77,042339.1+245614,FT Tau,,7.93,0.05,,7.46,0.05,,7.19,0.05,,6.29,0.05,,3.15,0.04,,0.28,0.22,,,,yes,yes,yes,yes,yes,,1,FT Tau,yso,class II,II,M3e,-254.3,3.8,-0.2,,0.13,"a,b",65.9129,24.9372,04233919+2456141,65.913306,+24.937254,0.060,0.060,90,10.192,9.123,8.596,0.026,0.027,0.021,AAA,222,0,2450781.7878
0.903618,66.11,26.830556,78,042426.4+264950,CFHT-9,,11.16,0.05,,10.88,0.05,,10.51,0.06,,9.83,0.05,,6.78,0.05,>,0.77,,,,,,yes,yes-faint,yes,yes,,1,[MDM2001] CFHT-BD-Tau 9,yso,class II,II,M6.25,,0.5,-1.7,,0.11,,66.11,26.8306,04242646+2649503,66.110258,+26.830656,0.080,0.060,0,12.884,12.193,11.764,0.021,0.028,0.020,AAA,222,0,2450781.7911
